name,categ,X,Y,Z,color
Окклюзия сонных артерий,Нервные болезни,-5.167118,5.661193,-10.717783,#440154
Окклюзия центральной артерии сетчатки,Глазные болезни,-10.206295,-9.881418,-1.8457426,#E7E419
Окклюзия центральной вены сетчатки,Глазные болезни,-10.192814,-9.898657,-1.8282108,#E7E419
Оксалоз,Наследственные болезни,6.997158,1.0885475,-8.280534,#38568B
Окулофарингеальная мышечная дистрофия ,Наследственные болезни,0.7317973,-0.47448155,-6.456301,#38568B
Окулоцереброкутанный синдром,Глазные болезни,-6.6419163,-8.209411,-2.873062,#E7E419
Олеогранулема полового члена,Мужские болезни,4.3369303,6.9335213,0.35519794,#79D151
Оливопонтоцеребеллярные дегенерации,Наследственные болезни,-4.654458,-1.2424462,-8.428986,#38568B
Олигоменорея. Редкие месячные,Женские болезни,6.0340743,10.105508,-7.55658,#48196B
Олигофрения,Психические расстройства,-8.782814,-3.9968305,-15.020645,#BADE27
Оментит,Болезни органов пищеварения,8.444261,0.7510957,3.8253288,#404387
Омская геморрагическая лихорадка,Инфекционные болезни,10.759408,-7.392159,9.114567,#460C5F
Омфалит,Детские болезни,2.6636481,-3.980268,7.777154,#64CB5D
Омфалоцеле,Детские болезни,8.383493,6.8681526,1.4443853,#64CB5D
Онейроид,Психические расстройства,-4.395373,-4.84693,-16.058844,#BADE27
Онихогрифоз,Кожные болезни,-2.7797663,-4.74297,18.114462,#42BE71
Ониходистрофия,Кожные болезни,-2.5369015,-3.8508596,18.003317,#42BE71
Онихолизис,Кожные болезни,-2.6933978,-4.6631494,18.176582,#42BE71
Онихомикоз,Кожные болезни,-2.0591125,-4.759748,18.343605,#42BE71
Онихофагия,Психические расстройства,-7.8374023,-6.4607763,-16.38371,#BADE27
ОНР 1 уровня,Нарушения речи,-10.0414915,-2.4523332,-12.52619,#345E8D
ОНР 2 уровня,Нарушения речи,-10.458003,-2.6916084,-12.557681,#345E8D
Онхоцеркоз,Инфекционные болезни,-1.9919786,-7.335724,3.456278,#460C5F
Оофорит. Воспаление яичников,Женские болезни,9.173126,3.5757806,9.044499,#48196B
Опийная наркомания,Наркологические проблемы,-0.45174706,-5.9662743,-19.344707,#2D6F8E
Описторхоз,Инфекционные болезни,10.892066,-3.4586043,5.5681543,#460C5F
Опрелости у ребенка,Детские болезни,-0.03409728,-10.126678,16.16093,#64CB5D
Опсоменорея,Женские болезни,6.443936,9.966186,-7.4172807,#48196B
Оптико-хиазмальный арахноидит,Глазные болезни,-7.463833,-6.3970256,-3.0671697,#E7E419
Оптикомиелит,Нервные болезни,-2.4020202,-4.0512714,-7.1225433,#440154
Опухоли бронхов,Онкологические болезни,-5.850329,8.309195,7.3533497,#482374
Опухоли брюшины,Онкологические болезни,-5.0371685,11.098602,5.6614695,#482374
Опухоли век,Глазные болезни,-1.4160058,3.8027055,13.106507,#E7E419
Опухоли гипофиза,Онкологические болезни,-3.3938935,9.3143835,-1.329682,#482374
Опухоли головного мозга,Нервные болезни,-5.5110884,5.942537,-1.985344,#440154
Опухоли желудка,Онкологические болезни,-3.85166,12.998568,4.6251855,#482374
Опухоли конъюнктивы,Глазные болезни,-1.5373445,3.9919388,13.108907,#E7E419
Опухоли костей,Онкологические болезни,-7.090843,3.915227,3.6613665,#482374
Опухоли мозжечка,Нервные болезни,-5.7604213,5.2028346,-1.687911,#440154
Опухоли мочеточника,Урологические болезни,-5.120167,11.927312,1.9131671,#29AF7F
Опухоли мошонки,Мужские болезни,-1.9076866,4.1788363,10.672725,#79D151
Опухоли надпочечников,Онкологические болезни,7.1375217,4.5637307,-7.0618644,#482374
Опухоли паращитовидных желез,Онкологические болезни,-2.2691524,10.655771,0.25719,#482374
Опухоли периферических нервов,Нервные болезни,-5.455568,6.5562797,0.08762781,#440154
Опухоли печени,Онкологические болезни,-4.7825027,9.658769,2.7522314,#482374
Опухоли пищевода,Онкологические болезни,-4.142499,15.536544,4.8834796,#482374
Опухоли поджелудочной железы,Онкологические болезни,-2.5304317,10.606908,1.4923315,#482374
Опухоли потовых желез,Кожные болезни,-0.47636297,3.5820735,10.958087,#42BE71
Опухоли прямой кишки,Онкологические болезни,-2.595996,13.505267,4.358147,#482374
Опухоли сальных желез,Кожные болезни,-0.40153638,3.5803213,10.96513,#42BE71
Опухоли сердца,Онкологические болезни,-1.4654342,8.768135,-13.118362,#482374
Опухоли сигмовидной кишки,Онкологические болезни,-3.20212,13.605754,3.9960525,#482374
Опухоли слезных желез,Глазные болезни,-4.754734,4.1149974,3.4870534,#E7E419
Опухоли слюнных желёз,Онкологические болезни,-1.5348452,8.094642,6.6665006,#482374
Опухоли спинного мозга,Нервные болезни,-5.8319883,5.6467175,-0.5243459,#440154
Опухоли средостения,Онкологические болезни,-5.985649,7.8334403,4.2288413,#482374
Опухоли ствола мозга,Нервные болезни,-4.6480875,5.9077806,-1.2928152,#440154
Опухоли толстого кишечника,Онкологические болезни,-2.755926,14.129799,4.547731,#482374
Опухоли тонкого кишечника,Онкологические болезни,-2.7172513,14.129679,4.456623,#482374
Опухоли уха,Онкологические болезни,-4.8278985,0.5412164,5.2118864,#482374
Опухоли хориоидеи,Глазные болезни,-10.541029,-7.6091866,0.19109192,#E7E419
Опухоли ЦНС,Нервные болезни,-5.4456954,5.866976,-2.0032034,#440154
Опухоли челюстей,Онкологические болезни,-6.874635,4.0792227,7.0523267,#482374
Опухоль Вильмса,Детские болезни,-3.5889163,8.282149,3.300099,#64CB5D
Опухоль эпифиза,Нервные болезни,-4.4091516,5.3909354,-1.6806526,#440154
Опущение бровей,Эстетические проблемы,-8.756609,-8.304725,13.705552,#23888D
Опущение верхнего века,Глазные болезни,-4.416007,-7.0492353,-0.74106723,#E7E419
Опущение матки,Женские болезни,8.624791,13.702311,2.3167129,#48196B
"Опущенный, приподнятый кончик носа",Эстетические проблемы,-10.35682,-7.213428,12.671796,#23888D
ОРВИ у детей,Детские болезни,7.5442185,-9.41291,4.3902283,#64CB5D
Органическая деменция у детей,Детские болезни,-7.0248847,-2.2879083,-13.976782,#64CB5D
Органический галлюциноз,Психические расстройства,-4.3458915,-2.4022942,-14.196458,#BADE27
Органическое бредовое шизофреноподобное расстройство,Психические расстройства,-4.5290265,-2.6481926,-14.657809,#BADE27
Органическое расстройство настроения,Психические расстройства,-4.675761,-2.1028042,-15.759232,#BADE27
Органическое тревожное расстройство,Психические расстройства,-4.276527,-1.9176601,-16.287373,#BADE27
Орнитоз,Инфекционные болезни,9.319188,-6.7624288,6.29917,#460C5F
Орхит,Мужские болезни,10.105623,1.3382609,7.4658947,#79D151
Оскольчатый перелом,Болезни ОДС и травмы,-17.440758,4.941779,3.758389,#30678D
Осложнения беременности,Женские болезни,9.574065,14.97115,-4.072447,#48196B
Осложнения родов,Женские болезни,10.426888,15.305019,-2.5656672,#48196B
