name,categ,X,Y,Z,color
Гамартома легкого,Онкологические болезни,-2.3630836,-11.101079,-3.2092206,#D2E11B
Ганглионеврит,Нервные болезни,-0.95995724,-1.3518767,6.740012,#BADE27
Ганглионеврома,Нервные болезни,-1.8854401,-1.3054333,5.498925,#BADE27
Ганглионейробластома,Нервные болезни,-1.5492156,-1.7274797,6.4298925,#BADE27
Ганглионит крылонебного узла,Нервные болезни,-1.6230539,-1.4405153,6.4636903,#BADE27
Гангрена,Болезни ОДС и травмы,-6.077731,-7.1912403,-0.4554444,#443982
Гангрена легкого,Болезни органов дыхания,-2.506345,-10.216755,2.9395945,#29788E
Гангренозная пиодермия ,Кожные болезни,9.207985,-7.413322,6.12435,#30678D
Гангренозный пульпит,Болезни зубов,8.060243,-9.561184,0.6043565,#2D6F8E
Гарднереллез,Женские болезни,5.542847,-13.078043,-5.349263,#460C5F
Гастринома,Онкологические болезни,-1.3754654,-11.339472,-3.3738112,#D2E11B
Гастрит,Болезни органов пищеварения,0.008000622,-14.057165,-0.945513,#267F8E
Гастрит с повышенной кислотностью,Болезни органов пищеварения,1.4815588,-13.024879,1.963072,#267F8E
Гастрит с пониженной кислотностью,Болезни органов пищеварения,1.348278,-14.352262,-1.8961297,#267F8E
Гастрит у детей,Детские болезни,1.9652002,-7.2741137,3.7173471,#64CB5D
Гастродуоденит,Болезни органов пищеварения,2.7869618,-14.419443,-0.510373,#267F8E
Гастродуоденит у детей,Детские болезни,1.7164304,-5.119855,5.323788,#64CB5D
Гастроинтестинальные стромальные опухоли,Онкологические болезни,-2.3690073,-11.742287,-3.09127,#D2E11B
Гастрокардиальный синдром,Болезни органов пищеварения,2.1740322,-14.75264,0.80935955,#267F8E
Гастропарез,Болезни органов пищеварения,2.011656,-13.67201,1.0597383,#267F8E
Гастроптоз,Болезни органов пищеварения,1.9515662,-12.659862,0.63061595,#267F8E
Гастрошизис ,Детские болезни,2.9202106,-7.232869,2.0931304,#64CB5D
Гастроэзофагеальная рефлюксная болезнь,Болезни органов пищеварения,2.4234972,-13.161081,0.5071528,#267F8E
Гастроэнтерит,Болезни органов пищеварения,1.7531363,-13.875504,-1.3690193,#267F8E
Гашишная наркомания,Наркологические проблемы,-10.133926,-6.612176,3.3395967,#208F8C
Гебефренический синдром,Психические расстройства,-3.855098,-5.0912337,7.5369806,#29AF7F
Гелеофизическая дисплазия,Наследственные болезни,2.7165148,-2.140372,10.22745,#404387
Гельминтозы,Инфекционные болезни,6.385723,-10.925791,4.276332,#440154
Гельминтозы у детей,Детские болезни,1.7548921,-5.378353,4.1014023,#64CB5D
Гемангиобластома,Нервные болезни,-1.5209593,-1.2004087,6.2492213,#BADE27
Гемангиома глаза,Глазные болезни,6.4639854,-1.7489178,5.7417617,#462F7C
Гемангиома легких,Болезни органов дыхания,-0.3112657,-9.323322,1.6339753,#29788E
Гемангиома печени,Онкологические болезни,-2.9735472,-10.901077,-3.693363,#D2E11B
Гемангиома позвоночника,Онкологические болезни,-2.6786506,-11.891048,-4.917365,#D2E11B
Гемангиома у детей,Детские болезни,2.38362,-5.694248,4.4669914,#64CB5D
Гемартроз,Болезни ОДС и травмы,-4.9756813,-5.7237463,-1.8383265,#443982
Гематогенный остеомиелит,Болезни ОДС и травмы,-5.522113,-5.82425,-0.8942065,#443982
Гематома,Болезни ОДС и травмы,-4.7787857,-4.517668,0.88418055,#443982
Гематома носовой перегородки,"Болезни уха, горла, носа",0.78432965,-4.824386,-0.16417126,#FDE724
Гематометра,Женские болезни,4.711665,-13.102656,-5.621193,#460C5F
Гематомиелия,Нервные болезни,-1.5546243,-0.95984983,6.4748216,#BADE27
Гемералопия,Глазные болезни,5.7000327,-2.0245261,4.818832,#462F7C
Гемианопсия,Глазные болезни,4.888676,-1.9392171,4.5259376,#462F7C
Гемибаллизм,Нервные болезни,-1.2699801,-0.92195076,5.630677,#BADE27
Гемифациальный спазм,Нервные болезни,-1.314178,-1.455976,6.0709763,#BADE27
Гемобластозы,Онкологические болезни,-1.1388375,-12.479384,-4.7648826,#D2E11B
Гемоглобинурия,Болезни крови,1.8318689,-9.80057,1.4784665,#482374
Гемолитико-уремический синдром,Детские болезни,1.2656641,-5.249902,4.0904956,#64CB5D
Гемолитическая анемия,Болезни крови,2.0752242,-9.891154,1.9734567,#482374
Гемолитическая болезнь плода,Женские болезни,4.5645213,-13.4006,-5.401271,#460C5F
Гемоперикард,Болезни сердца и сосудов,-7.777665,-10.68544,-2.5847032,#22A784
Гемоперитонеум,Болезни органов пищеварения,2.107687,-12.98511,-2.041539,#267F8E
Гемопневмоторакс,Болезни органов дыхания,-3.6352084,-11.006466,1.943469,#29788E
Геморрагическая болезнь новорожденных,Детские болезни,1.8621826,-7.1510677,4.4475894,#64CB5D
Геморрагическая лихорадка Марбург,Инфекционные болезни,5.0215244,-11.1043415,4.616775,#440154
Геморрагическая лихорадка с почечным синдромом,Инфекционные болезни,4.8435307,-10.288717,4.516979,#440154
Геморрагическая пневмония,Болезни органов дыхания,-1.9012415,-10.034232,4.6858096,#29788E
Геморрагические диатезы,Болезни крови,5.838482,-7.130557,4.8043804,#482374
Геморрагические лихорадки,Инфекционные болезни,5.3469734,-10.700045,4.585174,#440154
Геморрагический васкулит,Ревматические болезни,-2.5259085,-4.5889573,3.1975498,#79D151
Геморрагический гастрит,Болезни органов пищеварения,2.0823967,-13.875917,-0.35819066,#267F8E
Геморрагический инсульт,Нервные болезни,-0.7736273,-1.1247144,6.1740284,#BADE27
Геморрагический панкреатит,Болезни органов пищеварения,2.6456156,-13.923531,-0.21695076,#267F8E
Геморроидальное кровотечение,Болезни толстого кишечника,0.2629949,-18.833347,-4.0011234,#53C567
Геморрой,Болезни толстого кишечника,-0.16691588,-19.598818,-4.479392,#53C567
Гемосидероз,Ревматические болезни,10.912908,-6.8595524,8.542109,#79D151
